a,b,c
14248.690727326484,11256.278447027562,19872.989197042527
9776.48717269985,14160.399008335144,19795.08083844426
9943.65649547309,14771.186809156115,14632.67678076464
8854.062755687659,16589.0883039901,17644.670254235785
12730.815258649356,13112.000381079371,17787.405667354353
6396.922606239435,14181.575253701003,17452.886889449284
14489.62352843296,9500.819868937526,16261.97564026548
9477.586198209794,12256.645385552314,22258.307157519073
11638.078192114197,14948.393496166007,18480.922356123698
10501.25924904518,16318.766085236748,21576.536786966106
13924.215874089949,13408.353834962212,16690.95809692247
6879.718581004692,18318.346598716416,15557.86744898505
10355.165591972986,17696.523375543096,18304.169891515503
10231.891290663169,13872.6297672729,16704.55581052985
13267.538884670874,8931.643697535046,23497.335713367076
8800.217465371938,10267.110610807427,18564.472553134976
10655.143584899128,12366.496464082433,20650.978010524388
9244.283164157256,16343.266326640754,17484.257724115952
11084.427493431185,14651.571804345911,17250.058996751686
12165.630427431644,9602.079585932093,17928.903739510486
8798.761645574157,13519.591759372659,18818.14970162484
13289.447419679229,17388.05888658254,19954.04974371809
12803.18144118559,13212.91015666443,17719.04576524313
12004.988677803736,12425.063803721101,16434.04137976017
12801.711898528823,18314.710615288044,15543.883874080922
9632.544281651333,14112.16002727653,17823.637465776817
10754.219548962703,12993.770092549232,19317.81426970054
9128.461131481863,14735.351033539386,19053.278275512406
10464.223840747969,14036.045925385586,17959.01963717594
12060.710933476372,13098.801215706302,16619.68076175809
9616.678496549383,16537.75828995912,18337.560105789846
10206.492946288045,16342.973785847422,19315.151221389475
9625.654599760801,15765.809272096318,17915.319390010838
9309.58871700256,13783.936843095571,18258.447524222105
9657.507738326362,16408.490790438915,17653.84005100396
10974.670802162198,13895.624583766781,20105.648316543917
8765.379302729445,14979.950861180565,16992.139385121063
11468.831395634184,16170.742422672953,18426.73192822308
14319.60435421974,15698.573156557932,18907.18446902786
12484.088321154672,17758.484834733168,19668.701883983187
10616.32889527677,14947.69643368436,21440.534961534293
9224.742071830327,10463.474029676701,19553.543761169687
9505.683412498325,11563.64277953722,19378.190441556293
14384.909202055493,16835.224319231624,14618.454695250979
11101.615509552057,13304.305343141481,19394.729071898826
